episode,scores,steps
0,100,1
1,-10,88
2,-10,151
3,-10,169
4,-10,183
5,-10,201
6,-10,286
7,-10,294
8,-10,302
9,-10,310
10,100,312
11,-10,321
12,-10,329
13,-10,338
14,-10,347
15,-10,357
16,-10,366
17,-10,375
18,-10,384
19,100,390
20,-10,399
21,-10,409
22,-10,419
23,-10,429
24,-10,439
25,-10,447
26,100,450
27,100,451
28,100,454
29,-10,461
30,-10,467
31,-10,473
32,-10,479
33,-10,485
34,-10,491
35,-10,497
36,-10,503
37,-10,509
38,100,513
39,-10,519
40,-10,525
41,-10,531
42,-10,537
43,-10,543
44,-10,549
45,-10,556
46,-10,562
47,100,566
48,-10,572
49,-10,579
50,-10,585
51,-10,591
52,-10,597
53,-10,603
54,-10,610
55,-10,616
56,-10,622
57,-10,629
58,-10,635
59,-10,641
60,-10,648
61,-10,655
62,-10,662
63,-10,669
64,-10,675
65,-10,681
66,-10,687
67,-10,693
68,-10,700
69,100,701
70,-10,707
71,-10,713
72,-10,718
73,-10,723
74,-10,728
75,-10,733
76,-10,739
77,-10,744
78,-10,749
79,-10,754
80,100,757
81,-10,762
82,-10,767
83,-10,772
84,-10,777
85,-10,783
86,-10,790
87,-10,797
88,-10,804
89,-10,811
90,100,812
91,-10,819
92,-10,826
93,-10,833
94,-10,840
95,-10,847
96,-10,854
97,-10,861
98,-10,868
99,-10,875
100,-10,882
101,100,883
102,-10,890
103,-10,898
104,100,899
105,-10,907
106,-10,915
107,-10,1165
108,-10,1174
109,-10,1183
110,-10,1192
111,-10,1200
112,-10,1208
113,100,1209
114,-10,1218
115,-10,1227
116,-10,1236
117,-10,1245
118,-10,1254
119,-10,1263
120,100,1268
121,100,1273
122,-10,1282
123,-10,1291
124,-10,1300
125,-10,1309
126,-10,1318
127,-10,1327
128,-10,1337
129,-10,1347
130,-10,1357
131,-10,1366
132,-10,1376
133,-10,1386
134,-10,1396
135,-10,1407
136,100,1408
137,-10,1418
138,-10,1428
139,100,1429
140,-10,1439
141,-10,1449
142,-10,1458
143,-10,1467
144,-10,1476
145,-10,1485
146,-10,1494
147,-10,1504
148,-10,1688
149,-10,1788
150,-10,1800
